match_group_id,ledger_txn_ids,bank_row_id,utr,rule,member_count,matched_amount,expected_amount,delta,confidence
grp_00075,LTX000093,BNK000094,UTR760145414106,exact_1to1,1,51945.71,51952.47,-3.44,1.0
grp_00076,LTX000084,BNK000095,UTR767544769467,exact_1to1,1,20929.93,20933.49,-3.53,1.0
grp_00077,LTX000120,BNK000096,UTR913575961790,exact_1to1,1,8461.13,8469.69,2.71,1.0
grp_00078,LTX000067,BNK000097,UTR283957630373,exact_1to1,1,37306.88,37318.31,2.7,1.0
grp_00079,LTX000014,BNK000098,UTR747381280321,exact_1to1,1,7414.2,7416.69,-3.25,1.0
grp_00080,LTX000058,BNK000099,UTR647867016008,exact_1to1,1,7539.19,7548.08,3.14,1.0
grp_00081,LTX000027,BNK000100,UTR520876230963,exact_1to1,1,16944.14,16946.46,-4.37,1.0
grp_00082,LTX000052,BNK000101,UTR217997823723,fee_adjusted_1to1,1,4657.4,4666.16,3.29,0.9175
grp_00083,LTX000042,BNK000102,UTR959408552670,timing_near_miss_exact,1,9385.75,9391.69,0.0,0.88
grp_00084,LTX000116,BNK000103,UTR778154106700,timing_near_miss_exact,1,6123.34,6128.95,0.0,0.88
grp_00085,LTX000005,BNK000104,UTR267189521383,timing_near_miss_exact,1,11423.28,11429.42,0.0,0.88
grp_00086,LTX000125,BNK000105,UTR333495855869,timing_near_miss_exact,1,5962.58,5968.18,0.0,0.88
grp_00087,LTX000022,BNK000106,UTR687267280677,timing_near_miss_exact,1,9859.6,9865.59,0.0,0.88
grp_00088,LTX000123,BNK000107,UTR327192661494,timing_near_miss_exact,1,11559.46,11565.62,0.0,0.88
grp_00089,LTX000090|LTX000104|LTX000106|LTX000107|LTX000108,BNK000085,UTR328298055905,batch_subset_sum_hinted,5,404034.6,404080.01,0.0,0.925
grp_00090,LTX000091|LTX000098|LTX000100|LTX000102,BNK000086,UTR598186756080,batch_subset_sum_hinted,4,853210.42,853300.75,0.0,0.925
grp_00091,LTX000002|LTX000003|LTX000015|LTX000016,BNK000087,UTR709858687239,batch_subset_sum_hinted,4,61826.93,61838.11,0.0,0.925
grp_00092,LTX000031|LTX000039|LTX000040,BNK000088,UTR610244015787,batch_subset_sum_hinted,3,45142.24,45151.76,0.0,0.925
grp_00093,LTX000048|LTX000065,BNK000089,UTR985075368393,batch_subset_sum_hinted,2,9047.61,9053.52,0.0,0.925
grp_00094,LTX000113|LTX000130,BNK000090,UTR563124746696,batch_subset_sum_hinted,2,19393.7,19400.64,0.0,0.925
