ledger_txn_id,merchant_id,merchant_category,capture_date,gross_amount,razorpay_fee,tds_amount,expected_net_amount,expected_settlement_date,txn_status,utr_hint
LTX000021,mcht_saas_02,saas_subscription,2026-02-26,16981.34,353.56,0.0,16627.78,2026-03-02,captured,UTR454713199460
LTX000022,mcht_saas_02,saas_subscription,2026-03-02,10065.24,199.65,0.0,9865.59,2026-03-04,captured,UTR687267280677
LTX000023,mcht_d2c_02,d2c_ecommerce,2026-02-02,13207.57,260.81,0.0,12946.76,2026-02-04,captured,UTR494547632725
LTX000024,mcht_d2c_02,d2c_ecommerce,2026-02-03,25648.25,503.58,0.0,25144.67,2026-02-05,captured,UTR748626352046
LTX000025,mcht_d2c_02,d2c_ecommerce,2026-02-03,7932.44,150.21,0.0,7782.23,2026-02-05,captured,UTR531877060495
LTX000026,mcht_d2c_02,d2c_ecommerce,2026-02-04,9649.34,184.55,0.0,9464.79,2026-02-06,captured,UTR369049286007
LTX000027,mcht_d2c_02,d2c_ecommerce,2026-02-05,17303.74,357.28,0.0,16946.46,2026-02-09,captured,UTR520876230963
LTX000028,mcht_d2c_02,d2c_ecommerce,2026-02-08,12649.27,267.35,0.0,12381.92,2026-02-10,captured,UTR997822033536
LTX000029,mcht_d2c_02,d2c_ecommerce,2026-02-10,22570.94,442.97,0.0,22127.97,2026-02-12,captured,UTR467147756018
LTX000030,mcht_d2c_02,d2c_ecommerce,2026-02-14,20569.62,383.99,0.0,20185.63,2026-02-17,captured,UTR347342545679
LTX000031,mcht_d2c_02,d2c_ecommerce,2026-02-20,13103.89,252.35,0.0,12851.54,2026-02-23,captured,UTR610244015787
LTX000032,mcht_d2c_02,d2c_ecommerce,2026-02-16,8288.57,164.51,0.0,8124.06,2026-02-18,captured,UTR176330432112
LTX000033,mcht_d2c_02,d2c_ecommerce,2026-02-17,12359.41,247.24,0.0,12112.17,2026-02-19,captured,UTR356086787600
LTX000034,mcht_d2c_02,d2c_ecommerce,2026-02-17,20842.61,433.22,0.0,20409.39,2026-02-19,captured,UTR220930221981
LTX000035,mcht_d2c_02,d2c_ecommerce,2026-02-17,23070.4,450.43,0.0,22619.97,2026-02-19,captured,UTR808830852606
LTX000036,mcht_d2c_02,d2c_ecommerce,2026-02-17,12676.81,260.14,0.0,12416.67,2026-02-19,captured,UTR768086154476
LTX000037,mcht_d2c_02,d2c_ecommerce,2026-02-18,6325.28,116.07,0.0,6209.21,2026-02-20,captured,UTR496079829574
LTX000038,mcht_d2c_02,d2c_ecommerce,2026-02-18,7729.96,168.88,0.0,7561.08,2026-02-20,captured,UTR239897407675
LTX000039,mcht_d2c_02,d2c_ecommerce,2026-02-20,19934.75,387.87,0.0,19546.88,2026-02-23,captured,UTR610244015787
LTX000040,mcht_d2c_02,d2c_ecommerce,2026-02-20,12995.45,242.11,0.0,12753.34,2026-02-23,captured,UTR610244015787
LTX000041,mcht_d2c_02,d2c_ecommerce,2026-02-21,13152.92,274.47,0.0,12878.45,2026-02-23,captured,UTR365279673882
LTX000042,mcht_d2c_02,d2c_ecommerce,2026-02-23,9574.46,182.77,0.0,9391.69,2026-02-25,captured,UTR959408552670
LTX000043,mcht_d2c_02,d2c_ecommerce,2026-02-24,9488.46,205.05,0.0,9283.41,2026-02-26,captured_test_mode,
LTX000044,mcht_d2c_02,d2c_ecommerce,2026-02-26,25400.23,477.76,0.0,24922.47,2026-03-02,captured,UTR867503016668
LTX000045,mcht_d2c_04,d2c_ecommerce,2026-02-01,9196.89,167.07,0.0,9029.82,2026-02-03,captured,UTR529755286264
LTX000046,mcht_d2c_04,d2c_ecommerce,2026-02-03,17598.55,339.99,0.0,17258.56,2026-02-05,captured,UTR557350620231
LTX000047,mcht_d2c_04,d2c_ecommerce,2026-02-03,10140.55,186.72,0.0,9953.83,2026-02-05,captured,UTR911477668209
LTX000048,mcht_d2c_04,d2c_ecommerce,2026-02-05,4333.8,85.6,0.0,4248.2,2026-02-09,captured,UTR985075368393
LTX000049,mcht_d2c_04,d2c_ecommerce,2026-02-06,5006.05,101.74,0.0,4904.31,2026-02-09,captured,UTR328837135378
LTX000050,mcht_d2c_04,d2c_ecommerce,2026-02-10,3908.24,79.59,0.0,3828.65,2026-02-12,captured,
LTX000051,mcht_d2c_04,d2c_ecommerce,2026-02-10,7374.6,161.02,0.0,7213.58,2026-02-12,captured,
LTX000052,mcht_d2c_04,d2c_ecommerce,2026-02-13,4766.89,100.73,0.0,4666.16,2026-02-17,captured,UTR217997823723
LTX000053,mcht_d2c_04,d2c_ecommerce,2026-02-14,13213.42,263.56,0.0,12949.86,2026-02-17,captured,UTR108333803639
LTX000054,mcht_d2c_04,d2c_ecommerce,2026-02-15,41383.73,900.15,0.0,40483.58,2026-02-17,captured,UTR826688445378
LTX000055,mcht_d2c_04,d2c_ecommerce,2026-02-17,4835.66,96.2,0.0,4739.46,2026-02-19,captured,UTR255649542797
LTX000056,mcht_d2c_04,d2c_ecommerce,2026-02-18,9655.28,186.6,0.0,9468.68,2026-02-20,captured,UTR707137729281
LTX000057,mcht_d2c_04,d2c_ecommerce,2026-02-18,6631.41,131.01,0.0,6500.4,2026-02-20,captured,UTR435432107176
LTX000058,mcht_d2c_04,d2c_ecommerce,2026-02-19,7712.39,164.31,0.0,7548.08,2026-02-23,captured,UTR647867016008
LTX000059,mcht_d2c_04,d2c_ecommerce,2026-02-19,9085.14,168.63,0.0,8916.51,2026-02-23,captured,UTR211482797377
LTX000060,mcht_d2c_04,d2c_ecommerce,2026-02-20,4714.55,86.91,0.0,4627.64,2026-02-23,captured,UTR406531716032
LTX000061,mcht_d2c_04,d2c_ecommerce,2026-02-20,6377.61,121.97,0.0,6255.64,2026-02-23,captured,UTR932231500497
LTX000062,mcht_d2c_04,d2c_ecommerce,2026-02-22,9724.43,203.32,0.0,9521.11,2026-02-24,captured,UTR345868472350
LTX000063,mcht_d2c_04,d2c_ecommerce,2026-02-22,8952.34,165.0,0.0,8787.34,2026-02-24,captured,UTR488194318131
LTX000064,mcht_d2c_04,d2c_ecommerce,2026-02-23,6332.22,119.81,0.0,6212.41,2026-02-25,captured,UTR191704741583
LTX000065,mcht_d2c_04,d2c_ecommerce,2026-02-05,4901.05,95.73,0.0,4805.32,2026-02-09,captured,UTR985075368393
LTX000066,mcht_d2c_04,d2c_ecommerce,2026-02-26,26867.62,572.8,0.0,26294.82,2026-03-02,captured,UTR626174950720
LTX000067,mcht_mkt_01,marketplace,2026-02-02,38118.59,800.28,0.0,37318.31,2026-02-09,captured,UTR283957630373
LTX000068,mcht_mkt_01,marketplace,2026-03-01,37855.41,802.67,0.0,37052.74,2026-03-06,captured,UTR308152485718
LTX000069,mcht_mkt_01,marketplace,2026-03-01,40568.14,882.1,0.0,39686.04,2026-03-06,captured,
LTX000070,mcht_mkt_01,marketplace,2026-03-01,39112.38,826.46,0.0,38285.92,2026-03-06,captured,UTR308152485718
LTX000071,mcht_mkt_01,marketplace,2026-02-08,63703.37,1170.73,637.03,61895.61,2026-02-13,captured,UTR103606844260
LTX000072,mcht_mkt_01,marketplace,2026-02-09,80676.26,1536.87,806.76,78332.63,2026-02-17,captured,UTR200863333898
LTX000073,mcht_mkt_01,marketplace,2026-02-09,17677.99,335.24,0.0,17342.75,2026-02-17,captured,UTR880121294435
LTX000074,mcht_mkt_01,marketplace,2026-03-02,85952.0,1791.09,859.52,83301.39,2026-03-09,captured_pending_payout,
LTX000075,mcht_mkt_01,marketplace,2026-02-14,31407.38,587.85,0.0,30819.53,2026-02-19,captured,UTR194481744306
LTX000076,mcht_mkt_01,marketplace,2026-02-14,77445.38,1664.94,774.45,75005.99,2026-02-19,captured,
LTX000077,mcht_mkt_01,marketplace,2026-02-16,75093.85,1444.9,750.94,72898.01,2026-02-23,captured,
LTX000078,mcht_mkt_01,marketplace,2026-02-16,49383.1,1080.86,0.0,48302.24,2026-02-23,captured,UTR200440331424
LTX000079,mcht_mkt_01,marketplace,2026-03-01,34569.15,628.1,0.0,33941.05,2026-03-06,captured_pending_payout,
LTX000080,mcht_mkt_01,marketplace,2026-02-20,41739.36,789.65,0.0,40949.71,2026-02-25,captured,UTR246469137494
LTX000081,mcht_mkt_01,marketplace,2026-03-01,36437.57,742.41,0.0,35695.16,2026-03-06,captured,UTR308152485718
LTX000082,mcht_mkt_01,marketplace,2026-02-28,11225.45,224.79,0.0,11000.66,2026-03-05,captured,UTR411830789866
LTX000083,mcht_mkt_01,marketplace,2026-03-01,21802.01,443.11,0.0,21358.9,2026-03-06,captured,UTR453132183629
LTX000084,mcht_mkt_01,marketplace,2026-03-01,21387.25,453.76,0.0,20933.49,2026-03-06,captured,UTR767544769467
LTX000085,mcht_mkt_01,marketplace,2026-03-01,28600.03,1199.2,573.7,26827.13,2026-03-06,captured,UTR116344489522
LTX000086,mcht_mkt_01,marketplace,2026-03-02,35255.65,652.05,0.0,34603.6,2026-03-09,captured,UTR568207060341
LTX000087,mcht_mkt_01,marketplace,2026-03-01,45352.32,831.67,0.0,44520.65,2026-03-06,captured,UTR116344489522
LTX000088,mcht_mkt_01,marketplace,2026-03-02,28949.66,577.67,0.0,28371.99,2026-03-09,captured,UTR385437854016
LTX000089,mcht_mkt_03,marketplace,2026-02-01,215235.24,4677.51,2152.35,208405.38,2026-02-06,captured,UTR714323438388
LTX000090,mcht_mkt_03,marketplace,2026-03-01,65457.83,1326.16,654.58,63477.09,2026-03-06,captured,UTR328298055905
LTX000091,mcht_mkt_03,marketplace,2026-02-04,55399.92,1106.26,554.0,53739.66,2026-02-09,captured,
LTX000092,mcht_mkt_03,marketplace,2026-02-05,148812.41,3172.34,1488.12,144151.95,2026-02-10,captured,UTR643082008899
LTX000093,mcht_mkt_03,marketplace,2026-02-05,53500.26,1012.79,535.0,51952.47,2026-02-10,captured,UTR760145414106
LTX000094,mcht_mkt_03,marketplace,2026-02-09,70105.47,1431.84,701.05,67972.58,2026-02-17,captured,
LTX000095,mcht_mkt_03,marketplace,2026-02-10,57298.55,1117.13,572.99,55608.43,2026-02-17,captured,UTR728370753048
LTX000096,mcht_mkt_03,marketplace,2026-02-13,142250.62,2931.46,1422.51,137896.65,2026-02-18,captured,UTR667749016328
LTX000097,mcht_mkt_03,marketplace,2026-02-15,4600.0,100.0,0.0,4500.0,2026-02-20,captured,
LTX000098,mcht_mkt_03,marketplace,2026-02-04,247287.82,5372.31,2472.88,239442.63,2026-02-09,captured,UTR598186756080
LTX000099,mcht_mkt_03,marketplace,2026-02-16,41939.79,891.9,0.0,41047.89,2026-02-23,captured_test_mode,
LTX000100,mcht_mkt_03,marketplace,2026-02-04,378893.05,7728.8,3788.93,367375.32,2026-02-09,captured,UTR598186756080
LTX000101,mcht_mkt_03,marketplace,2026-02-18,62610.32,1163.59,626.1,60820.63,2026-02-23,captured,UTR514692644715
LTX000102,mcht_mkt_03,marketplace,2026-02-04,198393.16,3666.09,1983.93,192743.14,2026-02-09,captured,UTR598186756080
LTX000103,mcht_mkt_03,marketplace,2026-02-20,66991.4,1452.63,669.91,64868.86,2026-02-25,captured,UTR963288345560
LTX000104,mcht_mkt_03,marketplace,2026-03-01,97376.84,1934.29,973.77,94468.78,2026-03-06,captured,UTR328298055905
LTX000105,mcht_mkt_03,marketplace,2026-02-23,71226.46,1314.98,712.26,69199.22,2026-03-02,captured,UTR605340454972
LTX000106,mcht_mkt_03,marketplace,2026-03-01,67253.66,1256.65,672.54,65324.47,2026-03-06,captured,
LTX000107,mcht_mkt_03,marketplace,2026-03-01,87109.02,1767.42,871.09,84470.51,2026-03-06,captured,UTR328298055905
LTX000108,mcht_mkt_03,marketplace,2026-03-01,99366.32,2033.5,993.66,96339.16,2026-03-06,captured,UTR328298055905
LTX000109,mcht_mkt_03,marketplace,2026-03-01,83508.89,1609.38,835.09,81064.42,2026-03-06,captured,UTR906071393245
LTX000110,mcht_mkt_03,marketplace,2026-03-01,78941.14,1697.24,789.41,76454.49,2026-03-06,captured,UTR104267253620
LTX000111,mcht_food_01,food_delivery,2026-02-01,14119.53,257.09,0.0,13862.44,2026-02-02,captured,UTR872312774162
LTX000112,mcht_food_01,food_delivery,2026-02-02,9549.69,175.68,0.0,9374.01,2026-02-03,captured,UTR612290845387
LTX000113,mcht_food_01,food_delivery,2026-02-27,12213.25,265.57,0.0,11947.68,2026-03-02,captured,UTR563124746696
LTX000114,mcht_food_01,food_delivery,2026-02-04,3981.64,84.44,0.0,3897.2,2026-02-05,captured,
LTX000115,mcht_food_01,food_delivery,2026-02-06,8478.0,174.39,0.0,8303.61,2026-02-09,captured,UTR272442708696
LTX000116,mcht_food_01,food_delivery,2026-02-07,6244.72,115.77,0.0,6128.95,2026-02-09,captured,UTR778154106700
LTX000117,mcht_food_01,food_delivery,2026-02-08,6384.3,128.05,0.0,6256.25,2026-02-09,captured,UTR963797070096
LTX000118,mcht_food_01,food_delivery,2026-02-08,16473.46,327.02,0.0,16146.44,2026-02-09,captured,UTR564479021131
LTX000119,mcht_food_01,food_delivery,2026-02-09,6437.64,132.35,0.0,6305.29,2026-02-10,captured,UTR142636618004
LTX000120,mcht_food_01,food_delivery,2026-02-12,8629.85,160.16,0.0,8469.69,2026-02-13,captured,UTR913575961790
LTX000121,mcht_food_01,food_delivery,2026-02-13,2790.53,54.88,0.0,2735.65,2026-02-17,captured,UTR503386595431
LTX000122,mcht_food_01,food_delivery,2026-02-15,18962.68,369.2,0.0,18593.48,2026-02-17,captured,UTR397662167849
LTX000123,mcht_food_01,food_delivery,2026-02-16,11793.35,227.73,0.0,11565.62,2026-02-17,captured,UTR327192661494
LTX000124,mcht_food_01,food_delivery,2026-02-17,7090.12,147.07,0.0,6943.05,2026-02-18,captured,UTR279587793609
LTX000125,mcht_food_01,food_delivery,2026-02-18,6101.16,132.98,0.0,5968.18,2026-02-19,captured,UTR333495855869
LTX000126,mcht_food_01,food_delivery,2026-02-20,10103.59,201.3,0.0,9902.29,2026-02-23,captured,UTR640660526976
LTX000127,mcht_food_01,food_delivery,2026-02-24,14013.3,282.25,0.0,13731.05,2026-02-25,captured,UTR281781133919
LTX000128,mcht_food_01,food_delivery,2026-02-26,19136.44,394.41,0.0,18742.03,2026-02-27,captured,
LTX000129,mcht_food_01,food_delivery,2026-02-27,11563.15,232.78,0.0,11330.37,2026-03-02,captured,UTR972833605035
LTX000130,mcht_food_01,food_delivery,2026-02-27,7606.71,153.75,0.0,7452.96,2026-03-02,captured,
LTX000131,mcht_food_01,food_delivery,2026-02-28,12637.91,237.71,0.0,12400.2,2026-03-02,captured,UTR892342270114
LTX000132,mcht_food_01,food_delivery,2026-03-01,11276.52,241.8,0.0,11034.72,2026-03-02,captured,
LTX000133,mcht_saas_02,saas_subscription,2026-02-12,8251.5,180.57,0.0,8070.93,2026-02-17,captured,
LTX000134,mcht_mkt_03,marketplace,2026-02-20,66991.4,1452.63,669.91,64868.86,2026-02-25,captured,
LTX000135,mcht_saas_02,saas_subscription,2026-02-24,13570.31,255.12,0.0,13315.19,2026-02-26,captured,
LTX000136,mcht_d2c_04,d2c_ecommerce,2026-02-10,3908.24,79.59,0.0,3828.65,2026-02-12,captured,
LTX000137,mcht_d2c_02,d2c_ecommerce,2026-02-03,25648.25,503.58,0.0,25144.67,2026-02-05,captured,
