merchant_id,merchant_category,date,gross_transaction_amount,refund_amount,chargeback_amount,razorpay_fee,tds_hold,net_settled_amount
mcht_saas_04,saas_subscription,2025-11-02,140977.21,0.0,0.0,2888.05,0.0,138089.16
mcht_d2c_01,d2c_ecommerce,2025-11-03,195063.95,0.0,0.0,4044.11,1950.64,189069.2
mcht_d2c_02,d2c_ecommerce,2025-11-03,353337.14,0.0,0.0,6944.04,3533.37,342859.73
mcht_d2c_03,d2c_ecommerce,2025-11-03,687899.09,0.0,0.0,14827.0,6878.99,666193.1
mcht_d2c_04,d2c_ecommerce,2025-11-03,180742.93,0.0,0.0,3815.13,0.0,176927.8
mcht_food_01,food_delivery,2025-11-03,166018.88,4873.09,0.0,3269.33,1660.19,156216.27
mcht_food_02,food_delivery,2025-11-03,366373.12,15404.64,0.0,7564.15,3663.73,339740.6
mcht_food_03,food_delivery,2025-11-03,414254.32,9300.44,0.0,7573.86,4142.54,393237.48
mcht_mkt_01,marketplace,2025-11-03,199595.31,117361.38,0.0,3847.93,1995.95,76390.05
mcht_mkt_02,marketplace,2025-11-03,995398.63,115540.58,0.0,21880.92,9953.99,848023.14
mcht_mkt_03,marketplace,2025-11-03,1121761.97,64591.51,0.0,22805.3,11217.62,1023147.54
mcht_mkt_04,marketplace,2025-11-03,402970.31,0.0,0.0,7736.08,4029.7,391204.53
mcht_saas_01,saas_subscription,2025-11-03,104639.5,0.0,0.0,2004.61,0.0,102634.89
mcht_saas_02,saas_subscription,2025-11-03,186109.53,0.0,0.0,3590.03,1861.1,180658.4
mcht_saas_03,saas_subscription,2025-11-03,332424.55,847.62,0.0,6153.69,3324.25,322098.99
mcht_saas_04,saas_subscription,2025-11-03,148372.26,0.0,0.0,3004.81,0.0,145367.45
mcht_d2c_01,d2c_ecommerce,2025-11-04,226349.62,16276.75,0.0,4198.51,2263.5,203610.86
mcht_d2c_02,d2c_ecommerce,2025-11-04,407094.73,0.0,0.0,7726.64,4070.95,395297.14
mcht_d2c_03,d2c_ecommerce,2025-11-04,840021.82,54456.75,0.0,15403.24,8400.22,761761.61
mcht_d2c_04,d2c_ecommerce,2025-11-04,191368.79,0.0,0.0,4130.93,1913.69,185324.17
mcht_food_01,food_delivery,2025-11-04,86705.65,6920.34,0.0,1607.73,867.06,77310.52
mcht_food_02,food_delivery,2025-11-04,159907.37,5577.31,0.0,3218.1,1599.07,149512.89
mcht_food_03,food_delivery,2025-11-04,204619.3,14002.34,0.0,3979.05,2046.19,184591.72
mcht_mkt_01,marketplace,2025-11-04,553570.98,38781.27,0.0,11811.51,5535.71,497442.49
mcht_mkt_02,marketplace,2025-11-04,942480.35,91831.72,0.0,18812.48,9424.8,822411.35
mcht_mkt_03,marketplace,2025-11-04,254564.84,0.0,0.0,5489.3,2545.65,246529.89
mcht_mkt_04,marketplace,2025-11-04,583758.12,0.0,0.0,11217.66,5837.58,566702.88
mcht_saas_01,saas_subscription,2025-11-04,101791.99,370.61,0.0,1937.23,0.0,99484.15
mcht_saas_02,saas_subscription,2025-11-04,194183.67,535.41,0.0,4036.9,1941.84,187669.52
mcht_saas_03,saas_subscription,2025-11-04,329659.76,991.36,0.0,6394.09,3296.6,318977.71
mcht_saas_04,saas_subscription,2025-11-04,142767.84,888.47,0.0,2751.98,1427.68,137699.71
mcht_d2c_01,d2c_ecommerce,2025-11-05,160871.72,22613.48,0.0,3176.05,1608.72,133473.47
mcht_d2c_02,d2c_ecommerce,2025-11-05,178712.56,0.0,0.0,3565.04,1787.13,173360.39
mcht_d2c_03,d2c_ecommerce,2025-11-05,388235.6,31687.0,0.0,8070.94,3882.36,344595.3
mcht_d2c_04,d2c_ecommerce,2025-11-05,115594.46,12511.03,0.0,2320.82,1155.94,99606.67
mcht_food_01,food_delivery,2025-11-05,100894.26,2434.46,0.0,1949.17,1008.94,95501.69
mcht_food_02,food_delivery,2025-11-05,167266.86,5293.92,0.0,3568.41,1672.67,156731.86
mcht_food_03,food_delivery,2025-11-05,208258.46,8123.96,0.0,3880.5,2082.58,194171.42
mcht_mkt_01,marketplace,2025-11-05,713605.5,0.0,0.0,14716.11,7136.06,691753.33
mcht_mkt_02,marketplace,2025-11-05,1493476.22,0.0,0.0,28859.37,14934.76,1449682.09
mcht_mkt_03,marketplace,2025-11-05,601620.61,33920.1,0.0,11054.47,6016.21,550629.83
mcht_mkt_04,marketplace,2025-11-05,332367.04,18427.76,0.0,6499.08,3323.67,304116.53
mcht_saas_01,saas_subscription,2025-11-05,96096.96,565.34,0.0,1954.98,0.0,93576.64
mcht_saas_02,saas_subscription,2025-11-05,188498.73,466.74,0.0,4114.53,1884.99,182032.47
mcht_saas_03,saas_subscription,2025-11-05,326265.0,927.56,0.0,6783.89,3262.65,315290.9
mcht_saas_04,saas_subscription,2025-11-05,155292.67,519.32,0.0,3372.6,1552.93,149847.82
mcht_d2c_01,d2c_ecommerce,2025-11-06,146549.32,0.0,0.0,3160.6,1465.49,141923.23
mcht_d2c_02,d2c_ecommerce,2025-11-06,228312.07,0.0,0.0,4463.06,2283.12,221565.89
mcht_d2c_03,d2c_ecommerce,2025-11-06,373045.69,0.0,0.0,8160.27,3730.46,361154.96
mcht_d2c_04,d2c_ecommerce,2025-11-06,102268.34,14726.58,0.0,1855.26,1022.68,84663.82
mcht_food_01,food_delivery,2025-11-06,78006.18,4304.42,534.44,1526.8,780.06,70860.46
mcht_food_02,food_delivery,2025-11-06,197051.36,16258.98,0.0,3708.62,1970.51,175113.25
mcht_food_03,food_delivery,2025-11-06,230960.95,0.0,0.0,4798.05,2309.61,223853.29
mcht_mkt_01,marketplace,2025-11-06,538365.22,0.0,0.0,10446.21,5383.65,522535.36
mcht_mkt_02,marketplace,2025-11-06,322755.72,107200.08,0.0,6503.22,3227.56,205824.86
mcht_mkt_03,marketplace,2025-11-06,1125505.26,0.0,0.0,21783.48,11255.05,1092466.73
mcht_mkt_04,marketplace,2025-11-06,78327.48,27721.26,0.0,1649.11,783.27,48173.84
mcht_saas_01,saas_subscription,2025-11-06,95197.65,0.0,0.0,1869.68,951.98,92375.99
mcht_saas_02,saas_subscription,2025-11-06,184260.75,0.0,0.0,3749.72,1842.61,178668.42
mcht_saas_03,saas_subscription,2025-11-06,327713.77,1186.87,0.0,6189.28,3277.14,317060.48
mcht_saas_04,saas_subscription,2025-11-06,151063.95,0.0,0.0,2919.27,1510.64,146634.04
mcht_d2c_01,d2c_ecommerce,2025-11-07,147096.66,0.0,0.0,2668.96,1470.97,142956.73
mcht_d2c_02,d2c_ecommerce,2025-11-07,276995.99,0.0,0.0,5794.23,2769.96,268431.8
mcht_d2c_03,d2c_ecommerce,2025-11-07,330378.4,0.0,0.0,6704.9,3303.78,320369.72
mcht_d2c_04,d2c_ecommerce,2025-11-07,113288.68,0.0,0.0,2360.66,1132.89,109795.13
mcht_food_01,food_delivery,2025-11-07,113980.13,0.0,0.0,2317.5,1139.8,110522.83
mcht_food_02,food_delivery,2025-11-07,243401.39,0.0,0.0,4498.39,2434.01,236468.99
mcht_food_03,food_delivery,2025-11-07,332546.26,25807.6,0.0,7198.16,3325.46,296215.04
mcht_mkt_01,marketplace,2025-11-07,686771.3,63014.29,0.0,14873.16,6867.71,602016.14
mcht_mkt_02,marketplace,2025-11-07,957508.57,0.0,30273.55,17481.79,9575.09,900178.14
mcht_mkt_03,marketplace,2025-11-07,715017.9,83843.91,0.0,14756.1,7150.18,609267.71
mcht_mkt_04,marketplace,2025-11-07,200846.28,52600.64,0.0,3998.23,2008.46,142238.95
mcht_saas_01,saas_subscription,2025-11-07,97246.86,535.75,0.0,1835.58,972.47,93903.06
mcht_saas_02,saas_subscription,2025-11-07,183485.63,539.09,0.0,3790.33,1834.86,177321.35
mcht_saas_03,saas_subscription,2025-11-07,315421.71,0.0,0.0,6087.35,3154.22,306180.14
mcht_saas_04,saas_subscription,2025-11-07,144867.13,1307.16,0.0,3091.43,1448.67,139019.87
mcht_d2c_01,d2c_ecommerce,2025-11-08,141788.25,0.0,0.0,2811.57,1417.88,137558.8
mcht_d2c_02,d2c_ecommerce,2025-11-08,235969.71,30547.21,0.0,5155.58,2359.7,197907.22
mcht_d2c_03,d2c_ecommerce,2025-11-08,373624.59,164425.86,0.0,7050.02,3736.25,198412.46
mcht_d2c_04,d2c_ecommerce,2025-11-08,119442.22,25937.73,0.0,2620.37,1194.42,89689.7
mcht_food_01,food_delivery,2025-11-08,136080.76,4281.6,0.0,2598.87,1360.81,127839.48
mcht_food_02,food_delivery,2025-11-08,243539.28,8163.47,0.0,4736.38,2435.39,228204.04
mcht_food_03,food_delivery,2025-11-08,331517.54,0.0,0.0,6979.21,3315.18,321223.15
mcht_mkt_01,marketplace,2025-11-08,722684.03,0.0,13841.19,14449.38,7226.84,687166.62
mcht_mkt_02,marketplace,2025-11-08,696572.71,105323.25,0.0,13032.06,6965.73,571251.67
mcht_mkt_03,marketplace,2025-11-08,1478592.05,35076.72,0.0,32410.32,14785.92,1396319.09
mcht_mkt_04,marketplace,2025-11-08,294275.81,0.0,0.0,5478.04,2942.76,285855.01
mcht_saas_01,saas_subscription,2025-11-08,94158.79,0.0,0.0,2002.21,941.59,91214.99
mcht_saas_02,saas_subscription,2025-11-08,172123.06,1102.64,0.0,3399.17,1721.23,165900.02
mcht_saas_03,saas_subscription,2025-11-08,301585.62,1779.2,0.0,5456.64,3015.86,291333.92
mcht_saas_04,saas_subscription,2025-11-08,138215.94,392.31,0.0,2983.2,1382.16,133458.27
mcht_d2c_01,d2c_ecommerce,2025-11-09,213849.09,34639.11,0.0,4414.3,2138.49,172657.19
mcht_d2c_02,d2c_ecommerce,2025-11-09,260993.92,52766.86,0.0,5315.65,2609.94,200301.47
mcht_d2c_03,d2c_ecommerce,2025-11-09,448405.07,0.0,0.0,9862.68,4484.05,434058.34
mcht_d2c_04,d2c_ecommerce,2025-11-09,151533.98,38031.15,0.0,2884.03,1515.34,109103.46
mcht_food_01,food_delivery,2025-11-09,170614.48,7344.63,0.0,3446.63,1706.14,158117.08
mcht_food_02,food_delivery,2025-11-09,380290.76,24656.08,0.0,7814.32,3802.91,344017.45
mcht_food_03,food_delivery,2025-11-09,494372.36,17423.28,513.12,10438.05,4943.72,461054.19
mcht_mkt_01,marketplace,2025-11-09,409188.51,30558.31,0.0,7673.55,4091.89,366864.76
mcht_mkt_02,marketplace,2025-11-09,216831.23,113410.59,0.0,4032.12,2168.31,97220.21
mcht_mkt_03,marketplace,2025-11-09,661233.16,90940.31,0.0,14145.83,6612.33,549534.69
mcht_mkt_04,marketplace,2025-11-09,336379.07,17975.59,0.0,7077.23,3363.79,307962.46
mcht_saas_01,saas_subscription,2025-11-09,93056.2,0.0,0.0,1995.34,930.56,90130.3
mcht_saas_02,saas_subscription,2025-11-09,177529.94,530.79,0.0,3732.48,1775.3,171491.37
mcht_saas_03,saas_subscription,2025-11-09,295660.76,925.85,0.0,5503.46,2956.61,286274.84
mcht_saas_04,saas_subscription,2025-11-09,136280.05,0.0,0.0,2716.52,1362.8,132200.73
mcht_d2c_01,d2c_ecommerce,2025-11-10,209980.91,15218.51,0.0,4525.27,2099.81,188137.32
mcht_d2c_02,d2c_ecommerce,2025-11-10,309573.6,61862.77,0.0,6304.34,3095.74,238310.75
mcht_d2c_03,d2c_ecommerce,2025-11-10,571116.5,69065.02,0.0,10679.14,5711.16,485661.18
mcht_d2c_04,d2c_ecommerce,2025-11-10,161224.65,0.0,0.0,3200.93,1612.25,156411.47
mcht_food_01,food_delivery,2025-11-10,186162.61,9640.9,0.0,4027.1,1861.63,170632.98
mcht_food_02,food_delivery,2025-11-10,327445.36,5914.4,0.0,6530.53,3274.45,311725.98
mcht_food_03,food_delivery,2025-11-10,454917.94,21338.26,0.0,9756.84,4549.18,419273.66
mcht_mkt_01,marketplace,2025-11-10,793281.22,39442.55,0.0,15812.39,7932.81,730093.47
mcht_mkt_02,marketplace,2025-11-10,795194.24,0.0,0.0,14402.29,7951.94,772840.01
mcht_mkt_03,marketplace,2025-11-10,975175.21,114583.36,0.0,20855.08,9751.75,829985.02
mcht_mkt_04,marketplace,2025-11-10,460312.75,0.0,0.0,9507.08,4603.13,446202.54
mcht_saas_01,saas_subscription,2025-11-10,86239.74,615.28,0.0,1610.16,862.4,83151.9
mcht_saas_02,saas_subscription,2025-11-10,171934.71,0.0,0.0,3780.96,1719.35,166434.4
mcht_saas_03,saas_subscription,2025-11-10,299981.24,1161.2,0.0,6074.42,2999.81,289745.81
mcht_saas_04,saas_subscription,2025-11-10,127268.39,364.02,0.0,2746.09,1272.68,122885.6
mcht_d2c_01,d2c_ecommerce,2025-11-11,209070.95,36476.94,0.0,4259.85,2090.71,166243.45
mcht_d2c_02,d2c_ecommerce,2025-11-11,381374.88,36894.39,900.74,7421.3,3813.75,332344.7
mcht_d2c_03,d2c_ecommerce,2025-11-11,581170.34,0.0,0.0,11241.13,5811.7,564117.51
mcht_d2c_04,d2c_ecommerce,2025-11-11,216903.61,0.0,0.0,4217.71,2169.04,210516.86
mcht_food_01,food_delivery,2025-11-11,84746.1,4032.56,0.0,1669.07,847.46,78197.01
mcht_food_02,food_delivery,2025-11-11,159027.44,0.0,855.75,2925.21,1590.27,153656.21
mcht_food_03,food_delivery,2025-11-11,217665.72,6754.58,0.0,4594.2,2176.66,204140.28
mcht_mkt_01,marketplace,2025-11-11,548638.57,0.0,19606.59,11356.16,5486.39,512189.43
mcht_mkt_02,marketplace,2025-11-11,1472977.27,62938.81,0.0,30768.8,14729.77,1364539.89
mcht_mkt_03,marketplace,2025-11-11,1019173.22,0.0,0.0,20453.51,10191.73,988527.98
mcht_mkt_04,marketplace,2025-11-11,292677.17,13231.85,0.0,6379.47,2926.77,270139.08
mcht_saas_01,saas_subscription,2025-11-11,87605.28,591.99,0.0,1579.53,876.05,84557.71
mcht_saas_02,saas_subscription,2025-11-11,163328.75,592.12,0.0,3044.7,1633.29,158058.64
mcht_saas_03,saas_subscription,2025-11-11,277778.04,1038.1,0.0,5725.66,2777.78,268236.5
mcht_saas_04,saas_subscription,2025-11-11,122490.44,0.0,0.0,2340.45,1224.9,118925.09
mcht_d2c_01,d2c_ecommerce,2025-11-12,149628.69,0.0,1434.79,3186.78,1496.29,143510.83
mcht_d2c_02,d2c_ecommerce,2025-11-12,193308.38,56337.2,633.91,3916.14,1933.08,130488.05
mcht_d2c_03,d2c_ecommerce,2025-11-12,431365.9,0.0,0.0,8061.47,4313.66,418990.77
mcht_d2c_04,d2c_ecommerce,2025-11-12,100813.88,0.0,0.0,1972.11,1008.14,97833.63
mcht_food_01,food_delivery,2025-11-12,92199.67,3651.99,432.85,1899.89,922.0,85292.94
mcht_food_02,food_delivery,2025-11-12,164421.5,10427.64,0.0,3006.47,1644.22,149343.17
mcht_food_03,food_delivery,2025-11-12,213038.12,0.0,0.0,4319.2,2130.38,206588.54
mcht_mkt_01,marketplace,2025-11-12,570539.82,0.0,0.0,11107.53,5705.4,553726.89
mcht_mkt_02,marketplace,2025-11-12,759409.77,0.0,0.0,14658.05,7594.1,737157.62
mcht_mkt_03,marketplace,2025-11-12,1720813.09,0.0,0.0,34858.85,17208.13,1668746.11
mcht_mkt_04,marketplace,2025-11-12,284420.76,34415.7,0.0,5721.88,2844.21,241438.97
mcht_saas_01,saas_subscription,2025-11-12,103863.75,0.0,0.0,2009.19,1038.64,100815.92
mcht_saas_02,saas_subscription,2025-11-12,184031.39,1189.6,0.0,3461.56,1840.31,177539.92
mcht_saas_03,saas_subscription,2025-11-12,346934.95,820.86,0.0,7145.35,3469.35,335499.39
mcht_saas_04,saas_subscription,2025-11-12,145419.3,825.58,0.0,3000.54,1454.19,140138.99
mcht_d2c_01,d2c_ecommerce,2025-11-13,114600.63,29717.14,654.37,2164.89,1146.01,80918.22
mcht_d2c_02,d2c_ecommerce,2025-11-13,213747.35,42177.13,874.26,4120.48,2137.47,164438.01
mcht_d2c_03,d2c_ecommerce,2025-11-13,419622.51,81258.7,0.0,8332.89,4196.23,325834.69
mcht_d2c_04,d2c_ecommerce,2025-11-13,112391.73,12838.35,0.0,2347.37,1123.92,96082.09
mcht_food_01,food_delivery,2025-11-13,98028.04,3390.14,0.0,1854.26,980.28,91803.36
mcht_food_02,food_delivery,2025-11-13,144561.08,0.0,0.0,2993.97,1445.61,140121.5
mcht_food_03,food_delivery,2025-11-13,271161.26,10194.13,0.0,5655.64,2711.61,252599.88
mcht_mkt_01,marketplace,2025-11-13,600846.93,88163.63,0.0,12843.19,6008.47,493831.64
mcht_mkt_02,marketplace,2025-11-13,1249035.22,103093.49,0.0,23324.67,12490.35,1110126.71
mcht_mkt_03,marketplace,2025-11-13,1037308.32,81290.8,0.0,22234.0,10373.08,923410.44
mcht_mkt_04,marketplace,2025-11-13,338361.0,0.0,10393.43,6976.22,3383.61,317607.74
mcht_saas_01,saas_subscription,2025-11-13,98982.67,0.0,0.0,2097.45,989.83,95895.39
mcht_saas_02,saas_subscription,2025-11-13,186551.04,474.06,69.18,3760.45,1865.51,180381.84
mcht_saas_03,saas_subscription,2025-11-13,317763.3,874.17,0.0,6709.08,3177.63,307002.42
mcht_saas_04,saas_subscription,2025-11-13,143080.32,0.0,0.0,2625.79,1430.8,139023.73
mcht_d2c_01,d2c_ecommerce,2025-11-14,171486.83,31320.39,1072.61,3328.77,1714.87,134050.19
mcht_d2c_02,d2c_ecommerce,2025-11-14,194964.59,0.0,0.0,3510.21,1949.65,189504.73
mcht_d2c_03,d2c_ecommerce,2025-11-14,378666.45,177331.37,1638.32,7450.45,3786.66,188459.65
mcht_d2c_04,d2c_ecommerce,2025-11-14,102507.14,0.0,943.59,2000.29,1025.07,98538.19
mcht_food_01,food_delivery,2025-11-14,101886.53,0.0,0.0,2160.54,1018.87,98707.12
mcht_food_02,food_delivery,2025-11-14,195316.46,7275.91,0.0,3747.71,1953.16,182339.68
mcht_food_03,food_delivery,2025-11-14,281090.54,23496.56,1550.27,5527.31,2810.91,247705.49
mcht_mkt_01,marketplace,2025-11-14,510272.78,15702.5,0.0,10273.11,5102.73,479194.44
mcht_mkt_02,marketplace,2025-11-14,1182126.57,41219.47,19210.69,23700.43,11821.27,1086174.71
mcht_mkt_03,marketplace,2025-11-14,1263828.15,216397.28,0.0,27145.14,12638.28,1007647.45
mcht_mkt_04,marketplace,2025-11-14,265426.57,20611.9,0.0,5286.59,2654.27,236873.81
mcht_saas_01,saas_subscription,2025-11-14,99958.43,581.39,0.0,2134.78,999.58,96242.68
mcht_saas_02,saas_subscription,2025-11-14,187414.62,492.78,0.0,3734.33,1874.15,181313.36
mcht_saas_03,saas_subscription,2025-11-14,318778.21,0.0,0.0,6267.54,3187.78,309322.89
mcht_saas_04,saas_subscription,2025-11-14,138662.77,792.55,56.11,2758.8,1386.63,133668.68
mcht_d2c_01,d2c_ecommerce,2025-11-15,167566.08,0.0,0.0,3647.67,1675.66,162242.75
mcht_d2c_02,d2c_ecommerce,2025-11-15,275479.98,0.0,799.21,5913.01,2754.8,266012.96
mcht_d2c_03,d2c_ecommerce,2025-11-15,348396.44,0.0,0.0,6955.72,3483.96,337956.76
mcht_d2c_04,d2c_ecommerce,2025-11-15,105007.31,38449.99,340.15,2285.41,1050.07,62881.69
mcht_food_01,food_delivery,2025-11-15,122364.74,11394.4,710.82,2334.56,1223.65,106701.31
mcht_food_02,food_delivery,2025-11-15,272054.01,20140.01,0.0,5625.51,2720.54,243567.95
mcht_food_03,food_delivery,2025-11-15,299905.45,18261.61,0.0,5483.22,2999.05,273161.57
mcht_mkt_01,marketplace,2025-11-15,83992.73,31199.11,27001.52,1669.02,839.93,23283.15
mcht_mkt_02,marketplace,2025-11-15,904111.63,0.0,46410.18,17443.73,9041.12,831216.6
mcht_mkt_03,marketplace,2025-11-15,1246460.25,0.0,0.0,26436.3,12464.6,1207559.35
mcht_mkt_04,marketplace,2025-11-15,360775.69,19537.6,0.0,7476.4,3607.76,330153.93
mcht_saas_01,saas_subscription,2025-11-15,96243.57,263.19,0.0,1785.64,962.44,93232.3
mcht_saas_02,saas_subscription,2025-11-15,170534.94,1072.27,62.6,3459.52,1705.35,164235.2
mcht_saas_03,saas_subscription,2025-11-15,330768.43,918.46,0.0,6315.68,3307.68,320226.61
mcht_saas_04,saas_subscription,2025-11-15,133870.28,0.0,51.19,2526.04,1338.7,129954.35
mcht_d2c_01,d2c_ecommerce,2025-11-16,196925.64,0.0,0.0,4242.55,1969.26,190713.83
mcht_d2c_02,d2c_ecommerce,2025-11-16,302947.65,24800.85,1826.77,5973.45,3029.48,267317.1
mcht_d2c_03,d2c_ecommerce,2025-11-16,526753.11,42285.62,4438.93,11436.83,5267.53,463324.2
mcht_d2c_04,d2c_ecommerce,2025-11-16,126533.8,25756.64,591.16,2677.28,1265.34,96243.38
mcht_food_01,food_delivery,2025-11-16,187755.15,9848.8,0.0,3815.04,1877.55,172213.76
mcht_food_02,food_delivery,2025-11-16,330458.54,0.0,1691.45,6338.08,3304.59,319124.42
mcht_food_03,food_delivery,2025-11-16,477633.57,0.0,1013.99,9945.44,4776.34,461897.8
mcht_mkt_01,marketplace,2025-11-16,484240.42,45564.23,11528.41,10379.62,4842.4,411925.76
mcht_mkt_02,marketplace,2025-11-16,915062.7,0.0,0.0,17909.67,9150.63,888002.4
mcht_mkt_03,marketplace,2025-11-16,1467586.06,187395.46,0.0,31221.84,14675.86,1234292.9
mcht_mkt_04,marketplace,2025-11-16,344335.12,20963.23,6340.28,6798.71,3443.35,306789.55
mcht_saas_01,saas_subscription,2025-11-16,90860.0,0.0,0.0,1916.9,908.6,88034.5
mcht_saas_02,saas_subscription,2025-11-16,171091.52,0.0,0.0,3113.23,1710.92,166267.37
mcht_saas_03,saas_subscription,2025-11-16,294805.45,985.11,0.0,5324.87,2948.05,285547.42
mcht_saas_04,saas_subscription,2025-11-16,138042.86,1314.64,0.0,2519.43,1380.43,132828.36
mcht_d2c_01,d2c_ecommerce,2025-11-17,251337.83,9763.13,0.0,5085.02,2513.38,233976.3
mcht_d2c_02,d2c_ecommerce,2025-11-17,353965.92,41609.7,0.0,7068.12,3539.66,301748.44
mcht_d2c_03,d2c_ecommerce,2025-11-17,603525.73,61354.37,0.0,12018.19,6035.26,524117.91
mcht_d2c_04,d2c_ecommerce,2025-11-17,165249.85,22936.36,1152.28,2992.77,1652.5,136515.94
mcht_food_01,food_delivery,2025-11-17,199091.08,0.0,689.88,3822.75,1990.91,192587.54
mcht_food_02,food_delivery,2025-11-17,354753.18,12551.45,0.0,6832.25,3547.53,331821.95
mcht_food_03,food_delivery,2025-11-17,438302.36,22993.51,1074.47,9154.67,4383.02,400696.69
mcht_mkt_01,marketplace,2025-11-17,295969.7,31468.47,0.0,5875.49,2959.7,255666.04
mcht_mkt_02,marketplace,2025-11-17,405210.34,101731.25,17269.95,7805.21,4052.1,274351.83
mcht_mkt_03,marketplace,2025-11-17,1477507.93,55436.77,14791.23,31793.78,14775.08,1360711.07
mcht_mkt_04,marketplace,2025-11-17,530062.36,14117.5,0.0,9833.41,5300.62,500810.83
mcht_saas_01,saas_subscription,2025-11-17,89262.22,518.71,38.06,1648.03,892.62,86164.8
mcht_saas_02,saas_subscription,2025-11-17,171508.54,0.0,0.0,3364.5,1715.09,166428.95
mcht_saas_03,saas_subscription,2025-11-17,272980.08,2575.34,174.42,5139.26,2729.8,262361.26
mcht_saas_04,saas_subscription,2025-11-17,131055.24,0.0,66.41,2360.95,1310.55,127317.33
mcht_d2c_01,d2c_ecommerce,2025-11-18,223173.2,17171.6,719.64,4441.58,2231.73,198608.65
mcht_d2c_02,d2c_ecommerce,2025-11-18,297533.26,24392.72,0.0,5454.98,2975.33,264710.23
mcht_d2c_03,d2c_ecommerce,2025-11-18,471631.46,28098.38,1610.89,9460.22,4716.31,427745.66
mcht_d2c_04,d2c_ecommerce,2025-11-18,169411.63,11006.92,594.47,3604.1,1694.12,152512.02
mcht_food_01,food_delivery,2025-11-18,87599.77,3152.98,286.66,1600.41,876.0,81683.72
mcht_food_02,food_delivery,2025-11-18,154613.43,11688.38,486.6,2912.8,1546.13,137979.52
mcht_food_03,food_delivery,2025-11-18,202641.47,8689.46,829.56,3828.89,2026.41,187267.15
mcht_mkt_01,marketplace,2025-11-18,822247.15,47438.96,0.0,16163.44,8222.47,750422.28
mcht_mkt_02,marketplace,2025-11-18,713477.99,59707.65,15247.97,12853.97,7134.78,618533.62
mcht_mkt_03,marketplace,2025-11-18,1183201.8,75155.64,0.0,21836.14,11832.02,1074378.0
mcht_mkt_04,marketplace,2025-11-18,305594.39,84534.51,1587.83,6706.8,3055.94,209709.31
mcht_saas_01,saas_subscription,2025-11-18,83204.44,0.0,35.64,1627.5,832.04,80709.26
