bank_row_id,utr,merchant_ref_code,bank_credit_date,credited_amount,bank_fee,bank_reported_txn_count,narration
BNK000028,UTR347342545679,mcht_d2c_02,2026-02-17,20178.61,7.02,,NEFT CR RAZORPAY SETTLEMENT UTR347342545679
BNK000029,UTR176330432112,mcht_d2c_02,2026-02-18,8118.25,5.81,1.0,NEFT CR RAZORPAY SETTLEMENT UTR176330432112
BNK000030,UTR826688445378,mcht_d2c_04,2026-02-17,40474.53,9.05,,NEFT CR RAZORPAY SETTLEMENT UTR826688445378
BNK000031,UTR467147756018,mcht_d2c_02,2026-02-12,22120.76,7.21,1.0,NEFT CR RAZORPAY SETTLEMENT UTR467147756018
BNK000032,UTR997822033536,mcht_d2c_02,2026-02-10,12375.68,6.24,,NEFT CR RAZORPAY SETTLEMENT UTR997822033536
BNK000033,UTR453132183629,mcht_mkt_01,2026-03-06,21351.76,7.14,,NEFT CR RAZORPAY SETTLEMENT UTR453132183629
BNK000034,UTR220930221981,mcht_d2c_02,2026-02-19,20402.35,7.04,1.0,NEFT CR RAZORPAY SETTLEMENT UTR220930221981
BNK000035,UTR281781133919,mcht_food_01,2026-02-25,13724.68,6.37,1.0,NEFT CR RAZORPAY SETTLEMENT UTR281781133919
BNK000036,UTR671086238456,mcht_mkt_03,2026-02-17,67960.78,11.8,1.0,NEFT CR RAZORPAY SETTLEMENT UTR671086238456
BNK000037,UTR963288345560,mcht_mkt_03,2026-02-25,64857.37,11.49,,NEFT CR RAZORPAY SETTLEMENT UTR963288345560
BNK000038,UTR356086787600,mcht_d2c_02,2026-02-19,12105.96,6.21,,NEFT CR RAZORPAY SETTLEMENT UTR356086787600
BNK000039,UTR392808457465,mcht_saas_02,2026-02-06,6925.14,5.69,,NEFT CR RAZORPAY SETTLEMENT UTR392808457465
BNK000040,UTR768086154476,mcht_d2c_02,2026-02-19,12410.43,6.24,1.0,NEFT CR RAZORPAY SETTLEMENT UTR768086154476
BNK000041,UTR369444962363,mcht_saas_02,2026-03-02,12184.81,6.22,1.0,NEFT CR RAZORPAY SETTLEMENT UTR369444962363
BNK000042,UTR239897407675,mcht_d2c_02,2026-02-20,7555.32,5.76,,NEFT CR RAZORPAY SETTLEMENT UTR239897407675
BNK000043,UTR605340454972,mcht_mkt_03,2026-03-02,69187.3,11.92,,NEFT CR RAZORPAY SETTLEMENT UTR605340454972
BNK000044,UTR494547632725,,2026-02-04,12940.47,6.29,1.0,NEFT CR RAZORPAY SETTLEMENT UTR494547632725
BNK000045,UTR707137729281,,2026-02-20,9462.73,5.95,,NEFT CR RAZORPAY SETTLEMENT UTR707137729281
BNK000046,UTR808830852606,mcht_d2c_02,2026-02-19,22612.71,7.26,1.0,NEFT CR RAZORPAY SETTLEMENT UTR808830852606
BNK000047,UTR191704741583,,2026-02-25,6206.79,5.62,1.0,NEFT CR RAZORPAY SETTLEMENT UTR191704741583
BNK000048,UTR561458857870,mcht_saas_02,2026-02-25,13361.5,6.34,1.0,NEFT CR RAZORPAY SETTLEMENT UTR561458857870
BNK000049,UTR963797070096,mcht_food_01,2026-02-09,6250.62,5.63,1.0,NEFT CR RAZORPAY SETTLEMENT UTR963797070096
BNK000050,UTR321459950354,mcht_saas_02,2026-02-18,7511.9,5.75,1.0,NEFT CR RAZORPAY SETTLEMENT UTR321459950354
BNK000051,UTR564479021131,mcht_food_01,2026-02-09,16139.83,6.61,1.0,NEFT CR RAZORPAY SETTLEMENT UTR564479021131
BNK000052,UTR200440331424,mcht_mkt_01,2026-02-23,48292.41,9.83,1.0,NEFT CR RAZORPAY SETTLEMENT UTR200440331424
BNK000053,UTR728370753048,mcht_mkt_03,2026-02-17,55597.87,10.56,1.0,NEFT CR RAZORPAY SETTLEMENT UTR728370753048
BNK000054,UTR454713199460,mcht_saas_02,2026-03-02,16621.12,6.66,1.0,NEFT CR RAZORPAY SETTLEMENT UTR454713199460
BNK000055,UTR200863333898,mcht_mkt_01,2026-02-17,78319.8,12.83,,NEFT CR RAZORPAY SETTLEMENT UTR200863333898
BNK000056,UTR557350620231,mcht_d2c_04,2026-02-05,17251.83,6.73,1.0,NEFT CR RAZORPAY SETTLEMENT UTR557350620231
BNK000057,UTR488194318131,mcht_d2c_04,2026-02-24,8781.46,5.88,,NEFT CR RAZORPAY SETTLEMENT UTR488194318131
BNK000058,UTR334313689073,mcht_d2c_04,2026-02-12,7207.86,5.72,1.0,NEFT CR RAZORPAY SETTLEMENT UTR334313689073
BNK000059,UTR531877060495,mcht_d2c_02,2026-02-05,7776.45,5.78,1.0,NEFT CR RAZORPAY SETTLEMENT UTR531877060495
BNK000060,UTR397662167849,mcht_food_01,2026-02-17,18586.62,6.86,,NEFT CR RAZORPAY SETTLEMENT UTR397662167849
BNK000061,UTR514692644715,mcht_mkt_03,2026-02-23,60809.55,11.08,,NEFT CR RAZORPAY SETTLEMENT UTR514692644715
BNK000062,UTR142636618004,,2026-02-10,6299.66,5.63,1.0,NEFT CR RAZORPAY SETTLEMENT UTR142636618004
BNK000063,UTR108333803639,mcht_d2c_04,2026-02-17,12943.57,6.29,1.0,NEFT CR RAZORPAY SETTLEMENT UTR108333803639
BNK000064,UTR199566520805,mcht_saas_02,2026-02-18,14883.01,6.49,1.0,NEFT CR RAZORPAY SETTLEMENT UTR199566520805
BNK000065,UTR612290845387,mcht_food_01,2026-02-03,9368.07,5.94,1.0,NEFT CR RAZORPAY SETTLEMENT UTR612290845387
BNK000066,UTR104267253620,mcht_mkt_03,2026-03-06,76441.84,12.65,,NEFT CR RAZORPAY SETTLEMENT UTR104267253620
BNK000067,UTR246469137494,mcht_mkt_01,2026-02-25,40940.62,9.09,,NEFT CR RAZORPAY SETTLEMENT UTR246469137494
BNK000068,UTR328837135378,mcht_d2c_04,2026-02-09,4898.82,5.49,,NEFT CR RAZORPAY SETTLEMENT UTR328837135378
BNK000069,UTR643082008899,mcht_mkt_03,2026-02-10,144132.53,19.42,,NEFT CR RAZORPAY SETTLEMENT UTR643082008899
BNK000070,UTR831843411238,mcht_mkt_01,2026-02-23,72885.72,12.29,1.0,NEFT CR RAZORPAY SETTLEMENT UTR831843411238
BNK000071,UTR640660526976,mcht_food_01,2026-02-23,9896.3,5.99,1.0,NEFT CR RAZORPAY SETTLEMENT UTR640660526976
BNK000072,UTR385872070927,mcht_saas_02,2026-02-26,13246.85,6.33,1.0,NEFT CR RAZORPAY SETTLEMENT UTR385872070927
BNK000073,UTR411830789866,mcht_mkt_01,2026-03-05,10994.56,6.1,1.0,NEFT CR RAZORPAY SETTLEMENT UTR411830789866
BNK000074,UTR752664988765,mcht_saas_02,2026-02-17,10783.44,6.08,,NEFT CR RAZORPAY SETTLEMENT UTR752664988765
BNK000075,UTR385437854016,mcht_mkt_01,2026-03-09,28364.15,7.84,,NEFT CR RAZORPAY SETTLEMENT UTR385437854016
BNK000076,UTR213423707571,mcht_saas_02,2026-02-23,21907.3,7.19,1.0,NEFT CR RAZORPAY SETTLEMENT UTR213423707571
BNK000077,UTR255649542797,,2026-02-19,4733.99,5.47,1.0,NEFT CR RAZORPAY SETTLEMENT UTR255649542797
BNK000078,UTR103606844260,,2026-02-13,61884.42,11.19,1.0,NEFT CR RAZORPAY SETTLEMENT UTR103606844260
BNK000079,UTR626174950720,mcht_d2c_04,2026-03-02,26287.19,7.63,1.0,NEFT CR RAZORPAY SETTLEMENT UTR626174950720
BNK000080,UTR892342270114,mcht_food_01,2026-03-02,12393.96,6.24,1.0,NEFT CR RAZORPAY SETTLEMENT UTR892342270114
BNK000081,UTR345868472350,mcht_d2c_04,2026-02-24,9515.16,5.95,1.0,NEFT CR RAZORPAY SETTLEMENT UTR345868472350
BNK000082,UTR365279673882,mcht_d2c_02,2026-02-23,12872.16,6.29,1.0,NEFT CR RAZORPAY SETTLEMENT UTR365279673882
BNK000083,UTR116344489522,mcht_mkt_01,2026-03-06,111017.72,16.1,,NEFT CR RAZORPAY SETTLEMENT UTR116344489522
BNK000084,UTR308152485718,mcht_mkt_01,2026-03-06,111017.72,16.1,4.0,NEFT CR RAZORPAY SETTLEMENT UTR308152485718
BNK000085,UTR328298055905,mcht_mkt_03,2026-03-06,404034.6,45.41,5.0,NEFT CR RAZORPAY SETTLEMENT UTR328298055905
BNK000086,UTR598186756080,mcht_mkt_03,2026-02-09,853210.42,90.33,4.0,NEFT CR RAZORPAY SETTLEMENT UTR598186756080
BNK000087,UTR709858687239,mcht_saas_02,2026-02-24,61826.93,11.18,4.0,NEFT CR RAZORPAY SETTLEMENT UTR709858687239
BNK000088,UTR610244015787,mcht_d2c_02,2026-02-23,45142.24,9.52,3.0,NEFT CR RAZORPAY SETTLEMENT UTR610244015787
BNK000089,UTR985075368393,mcht_d2c_04,2026-02-09,9047.61,5.91,2.0,NEFT CR RAZORPAY SETTLEMENT UTR985075368393
BNK000090,UTR563124746696,mcht_food_01,2026-03-02,19393.7,6.94,2.0,NEFT CR RAZORPAY SETTLEMENT UTR563124746696
BNK000091,UTR568207060341,mcht_mkt_01,2026-03-09,34591.05,8.46,1.0,NEFT CR RAZORPAY SETTLEMENT UTR568207060341
BNK000092,UTR714323438388,,2026-02-06,208376.25,25.84,1.0,NEFT CR RAZORPAY SETTLEMENT UTR714323438388
BNK000093,UTR279587793609,,2026-02-18,6934.5,5.69,,NEFT CR RAZORPAY SETTLEMENT UTR279587793609
BNK000094,UTR760145414106,mcht_mkt_03,2026-02-10,51945.71,10.2,,NEFT CR RAZORPAY SETTLEMENT UTR760145414106
BNK000095,UTR767544769467,mcht_mkt_01,2026-03-06,20929.93,7.09,,NEFT CR RAZORPAY SETTLEMENT UTR767544769467
BNK000096,UTR913575961790,mcht_food_01,2026-02-13,8461.13,5.85,,NEFT CR RAZORPAY SETTLEMENT UTR913575961790
BNK000097,UTR283957630373,mcht_mkt_01,2026-02-09,37306.88,8.73,,NEFT CR RAZORPAY SETTLEMENT UTR283957630373
BNK000098,UTR747381280321,mcht_saas_02,2026-02-23,7414.2,5.74,,NEFT CR RAZORPAY SETTLEMENT UTR747381280321
BNK000099,UTR647867016008,mcht_d2c_04,2026-02-23,7539.19,5.75,1.0,NEFT CR RAZORPAY SETTLEMENT UTR647867016008
BNK000100,UTR520876230963,mcht_d2c_02,2026-02-09,16944.14,6.69,1.0,NEFT CR RAZORPAY SETTLEMENT UTR520876230963
BNK000101,UTR217997823723,mcht_d2c_04,2026-02-17,4657.4,5.47,1.0,NEFT CR RAZORPAY SETTLEMENT UTR217997823723
BNK000102,UTR959408552670,mcht_d2c_02,2026-02-26,9385.75,5.94,1.0,NEFT CR RAZORPAY SETTLEMENT UTR959408552670
BNK000103,UTR778154106700,mcht_food_01,2026-02-10,6123.34,5.61,,NEFT CR RAZORPAY SETTLEMENT UTR778154106700
BNK000104,UTR267189521383,mcht_saas_02,2026-02-10,11423.28,6.14,1.0,NEFT CR RAZORPAY SETTLEMENT UTR267189521383
BNK000105,UTR333495855869,mcht_food_01,2026-02-20,5962.58,5.6,1.0,NEFT CR RAZORPAY SETTLEMENT UTR333495855869
BNK000106,UTR687267280677,mcht_saas_02,2026-03-05,9859.6,5.99,1.0,NEFT CR RAZORPAY SETTLEMENT UTR687267280677
BNK000107,UTR327192661494,mcht_food_01,2026-02-18,11559.46,6.16,1.0,NEFT CR RAZORPAY SETTLEMENT UTR327192661494
BNK000108,UTR911477668209,,2026-02-06,9947.83,6.0,,NEFT CR RAZORPAY SETTLEMENT UTR911477668209
BNK000109,UTR957699219491,mcht_food_01,2026-02-13,4500.0,0.0,,NEFT CR PRIOR PERIOD ADJUSTMENT
BNK000110,UTR224014182335,,2026-02-20,148.29,0.0,,NEFT CR INTEREST ON DEPOSIT
BNK000111,UTR435432107176,mcht_d2c_04,2026-02-19,6495.1,5.65,1.0,NEFT CR RAZORPAY SETTLEMENT UTR435432107176
BNK000112,UTR213423707571,mcht_saas_02,2026-02-23,21907.42,7.19,1.0,NEFT CR RAZORPAY SETTLEMENT UTR213423707571
BNK000113,UTR906071393245,mcht_mkt_03,2026-03-06,81050.98,13.11,1.0,NEFT CR RAZORPAY SETTLEMENT UTR906071393245
